1013,NAVA VASANTHAM -1 TELUGU VACHAKAM,B.SESHA KUMARI,,HYDERABAD,20,YES,8,385,,2014,1,,BOOK,46,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,17,,PURCHASE,,          ,0,,,,1,
1014,NAVA VASANTHAM -1 TELUGU VACHAKAM,B.SESHA KUMARI,,HYDERABAD,20,YES,8,385,,2014,1,,BOOK,46,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,17,,PURCHASE,,          ,0,,,,1,
1015,NAVA VASANTHAM -1 TELUGU VACHAKAM,B.SESHA KUMARI,,HYDERABAD,20,YES,8,385,,2014,1,,BOOK,46,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,17,,PURCHASE,,          ,0,,,,1,
1016,NAVA VASANTHAM -1 TELUGU VACHAKAM,B.SESHA KUMARI,,HYDERABAD,20,YES,8,385,,2014,1,,BOOK,46,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,17,,PURCHASE,,          ,0,,,,1,
1017,NAVA VASANTHAM -2 TELUGU VACHAKAM,B.SESHA KUMARI,,HYDERABAD,20,YES,8,66,,2014,1,,BOOK,54,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,17,,PURCHASE,,          ,0,,,,1,
1018,NAVA VASANTHAM -2 TELUGU VACHAKAM,B.SESHA KUMARI,,HYDERABAD,20,YES,8,66,,2014,1,,BOOK,54,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,17,,PURCHASE,,          ,0,,,,1,
1019,NAVA VASANTHAM -2 TELUGU VACHAKAM,B.SESHA KUMARI,,HYDERABAD,20,YES,8,66,,2014,1,,BOOK,54,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,17,,PURCHASE,,          ,0,,,,1,
102,MY STUDIO CLASS 5 MATH,CHRYSALIS,,,11,YES,2,331,,2010,1,,BOOK,150,0,RUPEES,,2017-06-19 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,12,,PURCHASE,,          ,0,,,,1,
1020,NAVA VASANTHAM -3 TELUGU VACHAKAM,A.SATYA NARAYANA,,HYDERABAD,20,YES,8,383,,2014,1,,BOOK,56,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,17,,PURCHASE,,          ,0,,,,1,
1021,NAVA VASANTHAM-3 TELUGU VACHAKAM,B.SESHA KUMARI,,HYDERABAD,20,YES,8,383,,2014,1,,BOOK,56,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,17,,PURCHASE,,          ,0,,,,1,
1022,NAVA VASANTHAM-3 TELUGU VACHAKAM,A.SATYA NARAYANA,,HYDERABAD,20,YES,8,383,,2014,1,,BOOK,56,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,17,,PURCHASE,,          ,0,,,,1,
1023,NAVA VASANTHAM-3 TELUGU VACHAKAM,A.SATYA NARAYANA,,HYDERABAD,20,YES,8,383,,2014,1,,BOOK,56,0,RUPEES,,2017-08-02 00:00:00.000,,,,,,,Hard Binding,ENGLISH,,Paper,17,,PURCHASE,,          ,0,,,,1,
