1,STUDENT(200),1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2; 
2,STUDENT(300),2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2; 
3,STUDENT(400),3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2; 
4,Non-Teaching Staff,5,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0; 
5,Teaching Staff,20,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0; 
6,STUDENT(500),3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0; 
