180,"GREENWOOD,DAVID"
181,"HARWOOD,RICHARD"
182,"HARTL,DANIEL.L"
183,"ANJANEYULU,A"
184,VISWA PRASAD
185,"VENKATA RANGACHARYULU,UTPALA"
186,"PEDDANA,ALLASANI"
187,"RAMESH BABU,LAKKOGU"
188,"SARESWARA SARMA,C.V"
189,"RAM,T.S"
190,"ESWARAN,EKNATDH"
191,"RAO,T.S"
192,"SIVA KUMAR,AAKELLA"
193,"SAILABALA,KALLURI"
194,"NAGESH,V"
195,"GANGULY,ANAND"
196,"MANI,A"
197,"AGARWAL,H.C"
198,"KANETKAR,YASHWANT"
199,"GUPTA,P.K"
200,"RAO,C.V"
201,SRI JNANANDA SWAMY
202,SRI SWAMI VIDYASWARUPANANDAGIRI
203,SWAMI VIDYATMANANDA
204,"MAX MULLER,F"
205,"MAHESWARI,K.L"
206,"VAN HORNE,JAMES.C"
207,"WACHOWICZ, JOHN.M"
208,"HORNGREN,CHARLES.T"
209,"SUNDEM,GARY.L"
210,PRASANNA CHANDRA
211,"SUBBA RANGAIAH,K"
212,"PRASADA RAO,L.V"
213,"NARAYANA RAO,G.V.S"
214,"RAMAKOTESWARA RAO,A"
215,"SALAGRAM,M"
216,BRAHMAJI RAO.S
217,"DE ROBERTICS,E.D.P"
218,"DE ROBERTICS,E.M.F"
219,"GARDNER,ELDON JOHN"
220,"SIMMONS, MICHAEL.J"
221,"PETER SNUSTAS,D"
222,"APOSTOL,TOM.M"
223,"SINGH,B.D"
224,"KOHLI,S.L"
225,"RESUTRA,N.K"
226,"GAUR,V.P"
227,"NARANG,D.B"
228,"JOSHI,ROSY"
229,"VENKATESWARULU,B"
230,"RAMJEE,M"
231,"MEHROTRA,R.S"
232,"AGARWAL,ASHOK"
233,"SUBBARAYUDU,V"
234,"MAHAN,BRUCE.H"
235,"ATKINS,ROBERT"
236,"CAREY,FRANCIS.A"
237,"TRIVEDI,R.P"
238,"BARROW,GONDON.M"
239,"SALLE,A.J"
240,"HANS,H.S"
241,"PURI,S.P"
242,PETER SYKES
243,"CONN,ERIC.E"
244,"BRONSON,RICHARD"
245,"MENDHAM,J"
246,"STAINER,ROGER.Y"
247,"MORRISON,ROBERT.T"
248,"BOYD,ROBERT.N"
249,"PECHENIK,JAN.A"
250,"ENGER,ELDON.D"
251,"ROSS,F.C"
252,"MILLER,STEPHEN.A"
253,"HARLEY,JOHN.B"
254,"KARDONG,KENNETH.V"
255,AJOY GHATAK
256,"SALWAI,DILIP.M"
257,"SHARMA,J.N"
258,"VASISTHA,A.R"
259,"JAMSA, KRIS"
260,"SPEIGEL,MURRAY.R"
261,"LIU,YU-CHENG"
262,"GIBSON,GLENN.A"
263,"SRIVASTAVA,L.N"
264,"SEDHA,R.S"
265,"JAIN,V.K"
266,"WREN,P.C"
267,"MARTIN,H"
268,"BASANDRA,SURESH.K"
269,"SARIN,N.N"
270,"SARIN,R.N"
271,"SESHAVATHATRAM,V.V"
272,"AGGARWAL,R.S"
273,BALAGURUSAMY.E
274,VIKAS GUPTA
275,DATE.C.J
276,"SOCHA ,JOHN"
277,ELLIS HOROWITZ
278,SARTAJ SAHNI
279,"SCHILDT,HERBERT."
280,"AHO,ALFRED V."
281,"ULLMAN,JEFFREY D."
282,"SCHWEBER,WILLIAM L."
283,"TREMBLEY,J.P"
284,"MANOHAR,R"
285,"HALL,DEVRA"
286,"HARRINGTON,STEVEN"
287,"HOPCROFT,JOHN.E"
288,"GRANILLO,ROBERT"
289,"KAMDAR,NEEMA"
290,"SHARMA,S.C"
291,"CRAWFOD,SHARON"
